iter	RMSE
0	70250.01115
1	69900.99781
2	69397.02053
3	69017.21126
4	68672.91226
5	68292.19807
6	68013.2788
7	67495.95565
8	67066.10224
9	66498.08849
10	65977.60986
11	65584.89629
12	65207.22217
13	64789.79595
14	64342.71429
15	63883.94791
16	63358.14222
17	62899.55327
18	62503.69087
19	62112.12707
20	61800.99481
21	61492.07449
22	61371.76728
23	61112.30309
24	60727.08443
25	60454.11871
26	60222.07411
27	60028.70439
28	59514.55011
29	59261.01524
30	58908.53652
31	58517.9159
32	58336.37893
33	57992.14481
34	57670.99254
35	57259.54758
36	56841.86246
37	56621.18164
38	56405.42314
39	56138.63452
40	55852.06855
41	55458.40649
42	55123.29542
43	54809.46153
44	54522.8117
45	54273.13456
46	54023.10227
47	53863.15216
48	53495.00684
49	53223.91479
50	53023.18348
51	52634.71644
52	52374.33077
53	52035.12569
54	51731.65945
55	51545.08164
56	51255.52904
57	50986.01586
58	50757.42949
59	50531.12552
60	50354.34805
61	50041.24906
62	49782.59064
63	49459.5289
64	49145.23102
65	48995.75576
66	48765.97948
67	48519.06902
68	48263.86165
69	48090.23452
70	47751.7919
71	47514.64257
72	47340.51891
73	47055.38195
74	46762.79184
75	46558.98828
76	46355.94851
77	46140.48078
78	46025.26363
79	45796.05586
80	45762.64067
81	45533.51435
82	45362.94786
83	45082.14864
84	44943.07956
85	44749.98024
86	44544.86794
87	44367.25444
88	44269.35449
89	44032.31383
90	43849.94434
91	43583.77516
92	43372.28573
93	43072.14533
94	42838.56185
95	42624.82547
96	42534.64994
97	42297.43935
98	42058.41648
99	41931.19121
100	41879.2839
101	41662.42616
102	41485.82359
103	41304.49509
104	41221.38877
105	40986.24875
106	40898.51968
107	40674.04902
108	40587.23603
109	40383.40446
110	40359.04917
111	40231.44647
112	40046.44454
113	39886.54222
114	39682.86825
115	39587.36632
116	39407.70038
117	39181.67737
118	39014.27266
119	38788.91205
120	38518.02313
121	38396.27894
122	38305.46078
123	38027.47399
124	37875.11304
125	37750.03999
126	37673.12045
127	37502.13649
128	37384.78811
129	37171.43139
130	36988.93825
131	36768.81267
132	36537.37596
133	36427.87242
134	36348.17372
135	36175.96384
136	36072.19652
137	35897.57348
138	35771.91832
139	35665.65818
140	35498.97549
141	35317.87731
142	35129.06777
143	34982.47771
144	34836.32226
145	34609.29788
146	34465.18241
147	34332.80956
148	34178.94607
149	34068.70935
150	33942.96605
151	33768.95204
152	33566.66035
153	33430.06503
154	33349.47747
155	33227.61362
156	33058.22773
157	32904.16939
158	32769.60982
159	32670.91116
160	32542.00719
161	32389.53733
162	32229.18911
163	32166.36183
164	31982.45195
165	31819.23001
166	31769.52553
167	31673.78205
168	31545.8886
169	31422.2757
170	31348.37555
171	31213.23944
172	31070.43942
173	30949.82967
174	30853.01031
175	30796.21966
176	30667.59521
177	30531.81654
178	30427.82531
179	30302.53528
180	30176.61277
181	29997.38819
182	29906.03254
183	29835.71219
184	29723.18589
185	29554.97598
186	29483.23861
187	29300.05175
188	29126.53366
189	29089.55893
190	28932.28363
191	28889.88625
192	28778.33556
193	28626.08131
194	28476.31025
195	28290.55092
196	28191.45813
197	28135.34557
198	27992.74781
199	27856.05751
200	27817.67117
201	27787.61117
202	27738.14131
203	27557.1366
204	27479.81908
205	27297.84007
206	27261.48731
207	27226.72705
208	27204.83081
209	27094.75592
210	26966.11641
211	26839.05765
212	26762.57735
213	26633.35546
214	26563.82534
215	26543.31098
216	26466.68555
217	26373.37934
218	26337.8292
219	26302.24866
220	26267.71274
221	26194.67817
222	26167.74719
223	26013.50767
224	25888.82703
225	25814.3716
